latitude,longitude,floorSize,url,price,date
30.274656,-97.688379,"2,040",https://www.zillow.com/homedetails/4704-Reyes-St-Austin-TX-78721/121656623_zpid/,"$595,000",1606370400.0
30.154777,-97.7598,"2,225",https://www.zillow.com/homedetails/5404-Fox-Wing-Way-Austin-TX-78747/2076860756_zpid/,"$349,000",1606284000.0
30.412393,-97.697711,"1,950",https://www.zillow.com/homedetails/2007-Pipers-Field-Dr-Austin-TX-78758/29439997_zpid/,"$435,000",1606284000.0
30.269577,-97.740918,623,https://www.zillow.com/homedetails/800-Brazos-St-UNIT-1110-Austin-TX-78701/80105670_zpid/,"$275,000",1606284000.0
30.286447,-97.714664,"1,001",https://www.zillow.com/homedetails/1726-E-32nd-St-Austin-TX-78722/29393204_zpid/,"$570,000",1606284000.0
30.361913,-97.733412,"1,290",https://www.zillow.com/homedetails/8015-Logwood-Dr-Austin-TX-78757/29424777_zpid/,"$473,500",1606284000.0
30.33381,-97.64791,"1,385",https://www.zillow.com/homedetails/4906-Dovercliff-Cv-Austin-TX-78754/29415827_zpid/,"$254,100",1606284000.0
30.306602,-97.68724,"1,120",https://www.zillow.com/homedetails/2302-Trafalgar-Dr-Austin-TX-78723/29402358_zpid/,"$400,000",1606284000.0
30.267217,-97.732478,"1,668",https://www.zillow.com/homedetails/800-Embassy-Dr-APT-607-Austin-TX-78702/305425874_zpid/,"$700,000",1606284000.0
30.379336,-97.904717,"3,057",https://www.zillow.com/homedetails/3213-Summer-Canyon-Dr-Austin-TX-78732/60134388_zpid/,"$550,000",1606284000.0
30.190799,-97.748045,"1,681",https://www.zillow.com/homedetails/5803-Hammermill-Run-Austin-TX-78744/29467636_zpid/,"$290,000",1606197600.0
30.374391,-97.795702,"3,078",https://www.zillow.com/homedetails/6807-Falcata-Cv-Austin-TX-78750/29358926_zpid/,"$800,000",1606197600.0
30.23085,-97.69303,860,https://www.zillow.com/homedetails/6807-Suena-Dr-B-Austin-TX-78741/2078164753_zpid/,"$125,000",1606197600.0
30.229611,-97.69773,"1,632",https://www.zillow.com/homedetails/6505-Porter-St-B-Austin-TX-78741/305428385_zpid/,"$430,000",1606197600.0
30.360179,-97.680506,"1,020",https://www.zillow.com/homedetails/9717-Hansford-Dr-Austin-TX-78753/29425520_zpid/,"$322,500",1606197600.0
